instance_id,box_id,type_id,length_cm,width_cm,height_cm,vert_axis_allowed,volume_cm3,weight_kg,destination,priority,shipper,stackable
1,10,1,108,76,30,3,246240,73.872,C,3,S6,1
1,94,11,36,34,25,"1,2,3",30600,9.18,C,3,S6,1
1,104,13,33,25,23,"1,2,3",18975,5.692,C,3,S6,1
1,79,9,85,84,30,3,214200,64.26,A,1,S1,1
1,50,6,111,70,48,"2,3",372960,111.888,A,1,S1,1
1,17,2,110,43,25,"2,3",118250,35.475,B,2,S5,1
1,63,7,98,72,46,"2,3",324576,97.373,B,2,S5,1
1,73,8,95,66,31,3,194370,58.311,B,2,S4,1
1,106,13,33,25,23,"1,2,3",18975,5.692,B,2,S4,1
1,102,12,97,67,62,"1,2,3",402938,120.881,C,3,S6,1
1,48,6,111,70,48,"2,3",372960,111.888,A,1,S1,0
1,22,2,110,43,25,"2,3",118250,35.475,C,3,S6,1
1,31,4,81,33,28,"2,3",74844,22.453,A,1,S1,1
1,88,11,36,34,25,"1,2,3",30600,9.18,A,1,S3,1
1,33,4,81,33,28,"2,3",74844,22.453,A,1,S2,1
1,51,6,111,70,48,"2,3",372960,111.888,A,1,S3,1
1,64,7,98,72,46,"2,3",324576,97.373,B,2,S5,0
1,125,15,94,81,44,"2,3",335016,100.505,C,3,S6,1
1,98,12,97,67,62,"1,2,3",402938,120.881,A,1,S1,1
1,19,2,110,43,25,"2,3",118250,35.475,C,3,S6,0
1,96,11,36,34,25,"1,2,3",30600,9.18,A,1,S3,1
1,3,1,108,76,30,3,246240,73.872,A,1,S1,1
1,67,8,95,66,31,3,194370,58.311,A,1,S3,1
1,82,9,85,84,30,3,214200,64.26,C,3,S6,1
1,37,4,81,33,28,"2,3",74844,22.453,B,2,S5,1
1,120,14,95,27,26,"2,3",66690,20.007,A,1,S3,1
1,8,1,108,76,30,3,246240,73.872,A,1,S3,0
1,2,1,108,76,30,3,246240,73.872,C,3,S6,1
1,89,11,36,34,25,"1,2,3",30600,9.18,C,3,S6,1
1,81,9,85,84,30,3,214200,64.26,C,3,S6,1
1,27,3,92,81,55,"1,2,3",409860,122.958,A,1,S1,1
1,93,11,36,34,25,"1,2,3",30600,9.18,C,3,S6,1
1,61,7,98,72,46,"2,3",324576,97.373,B,2,S5,1
1,75,8,95,66,31,3,194370,58.311,B,2,S4,1
1,97,12,97,67,62,"1,2,3",402938,120.881,C,3,S6,0
1,60,7,98,72,46,"2,3",324576,97.373,C,3,S6,1
1,40,5,120,99,73,"1,2,3",867240,260.172,B,2,S4,1
1,74,8,95,66,31,3,194370,58.311,C,3,S6,1
1,35,4,81,33,28,"2,3",74844,22.453,B,2,S5,1
1,52,6,111,70,48,"2,3",372960,111.888,A,1,S3,1
1,62,7,98,72,46,"2,3",324576,97.373,A,1,S2,1
1,39,4,81,33,28,"2,3",74844,22.453,B,2,S4,1
1,113,14,95,27,26,"2,3",66690,20.007,B,2,S4,0
1,42,5,120,99,73,"1,2,3",867240,260.172,B,2,S4,1
1,86,10,71,32,25,"2,3",56800,17.04,B,2,S4,1
1,80,9,85,84,30,3,214200,64.26,B,2,S5,1
1,57,7,98,72,46,"2,3",324576,97.373,B,2,S4,1
1,43,5,120,99,73,"1,2,3",867240,260.172,A,1,S1,1
1,85,10,71,32,25,"2,3",56800,17.04,A,1,S3,1
1,23,2,110,43,25,"2,3",118250,35.475,A,1,S2,1
1,53,6,111,70,48,"2,3",372960,111.888,A,1,S2,1
1,105,13,33,25,23,"1,2,3",18975,5.692,A,1,S3,1
1,24,2,110,43,25,"2,3",118250,35.475,B,2,S4,1
1,99,12,97,67,62,"1,2,3",402938,120.881,C,3,S6,1
1,41,5,120,99,73,"1,2,3",867240,260.172,A,1,S1,1
1,108,13,33,25,23,"1,2,3",18975,5.692,B,2,S4,1
1,123,15,94,81,44,"2,3",335016,100.505,B,2,S5,1
1,68,8,95,66,31,3,194370,58.311,A,1,S1,1
1,128,15,94,81,44,"2,3",335016,100.505,C,3,S6,1
1,56,6,111,70,48,"2,3",372960,111.888,C,3,S6,1
1,15,2,110,43,25,"2,3",118250,35.475,B,2,S4,1
1,91,11,36,34,25,"1,2,3",30600,9.18,B,2,S5,1
1,66,8,95,66,31,3,194370,58.311,C,3,S6,1
1,100,12,97,67,62,"1,2,3",402938,120.881,C,3,S6,1
1,109,13,33,25,23,"1,2,3",18975,5.692,C,3,S6,1
1,77,9,85,84,30,3,214200,64.26,A,1,S1,1
1,9,1,108,76,30,3,246240,73.872,A,1,S1,1
1,25,3,92,81,55,"1,2,3",409860,122.958,C,3,S6,1
1,47,6,111,70,48,"2,3",372960,111.888,C,3,S6,1
1,38,4,81,33,28,"2,3",74844,22.453,C,3,S6,1
1,71,8,95,66,31,3,194370,58.311,C,3,S6,1
1,11,1,108,76,30,3,246240,73.872,B,2,S4,1
1,83,9,85,84,30,3,214200,64.26,B,2,S5,1
1,16,2,110,43,25,"2,3",118250,35.475,B,2,S5,1
1,69,8,95,66,31,3,194370,58.311,A,1,S3,1
1,59,7,98,72,46,"2,3",324576,97.373,B,2,S5,0
1,6,1,108,76,30,3,246240,73.872,C,3,S6,1
1,34,4,81,33,28,"2,3",74844,22.453,C,3,S6,1
1,107,13,33,25,23,"1,2,3",18975,5.692,C,3,S6,1
1,45,6,111,70,48,"2,3",372960,111.888,C,3,S6,1
1,46,6,111,70,48,"2,3",372960,111.888,C,3,S6,1
1,13,2,110,43,25,"2,3",118250,35.475,C,3,S6,1
1,49,6,111,70,48,"2,3",372960,111.888,B,2,S4,0
1,111,14,95,27,26,"2,3",66690,20.007,B,2,S4,1
1,121,15,94,81,44,"2,3",335016,100.505,A,1,S3,1
1,103,12,97,67,62,"1,2,3",402938,120.881,A,1,S2,1
